State,2003,2019,2022,19 diff,22 diff,1922 diff
Alabama,223,230,230,7,7,0
Alaska,233,232,226,-1,-7,-6
Arizona,229,238,232,9,3,-6
Arkansas,229,233,228,4,-1,-5
California,227,235,230,8,3,-5
Colorado,235,242,236,7,1,-6
Connecticut,241,243,236,2,-5,-7
Delaware,236,239,226,3,-10,-13
District of Columbia,205,235,223,30,18,-12
DoDEA,237,250,250,13,13,0
Florida,234,246,241,12,7,-5
Georgia,230,238,235,8,5,-3
Hawaii,227,239,237,12,10,-2
Idaho,235,242,236,7,1,-6
Illinois,233,237,237,4,4,0
Indiana,238,245,239,7,1,-6
Iowa,238,241,240,3,2,-1
Kansas,242,239,235,-3,-7,-4
Kentucky,229,239,234,10,5,-5
Louisiana,226,231,229,5,3,-2
Maine,238,241,233,3,-5,-8
Maryland,233,239,229,6,-4,-10
Massachusetts,242,247,242,5,0,-5
Michigan,236,236,232,0,-4,-4
Minnesota,242,248,239,6,-3,-9
Mississippi,223,241,234,18,11,-7
Missouri,235,238,232,3,-3,-6
Montana,236,241,239,5,3,-2
Nebraska,236,244,242,8,6,-2
Nevada,228,236,229,8,1,-7
New Hampshire,243,245,239,2,-4,-6
New Jersey,239,246,239,7,0,-7
New Mexico,223,231,221,8,-2,-10
New York,236,237,227,1,-9,-10
North Carolina,242,241,236,-1,-6,-5
North Dakota,238,243,240,5,2,-3
Ohio,238,241,238,3,0,-3
Oklahoma,229,237,229,8,0,-8
Oregon,236,236,228,0,-8,-8
Pennsylvania,236,244,238,8,2,-6
Rhode Island,230,239,234,9,4,-5
South Carolina,236,237,234,1,-2,-3
South Dakota,237,241,239,4,2,-2
Tennessee,228,240,236,12,8,-4
Texas,237,244,239,7,2,-5
United States,235,241,236,6,1,-5
Utah,235,244,240,9,5,-4
Vermont,242,239,234,-3,-8,-5
Virginia,239,247,236,8,-3,-11
Washington,238,240,235,2,-3,-5
West Virginia,231,231,226,0,-5,-5
Wisconsin,237,242,240,5,3,-2
Wyoming,241,246,243,5,2,-3