State,2003,2019,2022,19 diff,22 diff,1922 diff
Alabama,207,212,213,5,6,1
Alaska,212,204,204,-8,-8,0
Arizona,209,216,215,7,6,-1
Arkansas,214,215,212,1,-2,-3
California,206,216,214,10,8,-2
Colorado,224,225,223,1,-1,-2
Connecticut,228,224,219,-4,-9,-5
Delaware,224,218,208,-6,-16,-10
District of Columbia,188,214,207,26,19,-7
DoDEA,224,235,235,11,11,0
Florida,218,225,225,7,7,0
Georgia,214,218,216,4,2,-2
Hawaii,208,218,219,10,11,1
Idaho,218,223,215,5,-3,-8
Illinois,216,218,218,2,2,0
Indiana,220,222,217,2,-3,-5
Iowa,223,221,218,-2,-5,-3
Kansas,220,219,215,-1,-5,-4
Kentucky,219,221,217,2,-2,-4
Louisiana,205,210,212,5,7,2
Maine,224,221,213,-3,-11,-8
Maryland,219,220,212,1,-7,-8
Massachusetts,228,231,227,3,-1,-4
Michigan,219,218,212,-1,-7,-6
Minnesota,223,222,215,-1,-8,-7
Mississippi,205,219,217,14,12,-2
Missouri,222,218,213,-4,-9,-5
Montana,223,222,219,-1,-4,-3
Nebraska,221,222,219,1,-2,-3
Nevada,207,218,212,11,5,-6
New Hampshire,228,224,223,-4,-5,-1
New Jersey,225,227,223,2,-2,-4
New Mexico,203,208,202,5,-1,-6
New York,222,220,214,-2,-8,-6
North Carolina,221,221,216,0,-5,-5
North Dakota,222,221,218,-1,-4,-3
Ohio,222,222,219,0,-3,-3
Oklahoma,214,216,208,2,-6,-8
Oregon,218,218,210,0,-8,-8
Pennsylvania,219,223,219,4,0,-4
Rhode Island,216,220,217,4,1,-3
South Carolina,215,216,216,1,1,0
South Dakota,222,222,218,0,-4,-4
Tennessee,212,219,214,7,2,-5
Texas,215,216,214,1,-1,-2
United States,218,220,217,2,-1,-3
Utah,219,225,221,6,2,-4
Vermont,226,222,217,-4,-9,-5
Virginia,223,224,214,1,-9,-10
Washington,221,220,217,-1,-4,-3
West Virginia,219,213,205,-6,-14,-8
Wisconsin,221,220,217,-1,-4,-3
Wyoming,222,227,225,5,3,-2